obj,sub,array3,ObjRotation,grasp,type,HandRotation,HandPosition,ObjPosition
obj13,sub7,"[[-0.87999716 -0.29288889  0.09435162]
 [-0.88464329 -0.31880908  0.09146386]]",[ 0.41504587  0.36082175 -0.57698712 -0.60384638],grasp7,optimal0,[ 1.6187945   1.61725167  0.85694635  1.64512865],[-0.86997761 -0.31080473  0.08846018],[-0.73531306 -0.36932293  0.08063661]
obj13,sub7,[-0.7199501  -0.14884343  0.00631605],[-0.06539125  0.62830921  0.76805379 -0.10509466],grasp8,optimal0,[ 0.84310369  0.69514352  0.36710401  1.68886902],[-0.74627981 -0.15373931 -0.06529037],[-0.73915595 -0.14537216  0.10043741]
obj13,sub8,"[[-0.78184204 -0.07790167 -0.0160959 ]
 [-0.78916342 -0.07428522 -0.01185927]]",[ 0.10586025 -0.74369569  0.20345477  0.62794624],grasp1,optimal0,[ 1.81236336  1.72585882  1.47907043  0.01726824],[-0.8219941  -0.09830322 -0.00760963],[-0.72215409 -0.14812455 -0.01098268]
obj13,sub8,"[[-0.77550371 -0.08870079 -0.04411507]
 [-0.78653569 -0.0693014  -0.03614206]]",[ 0.12050362 -0.75777562  0.19854216  0.60978357],grasp1,extreme0,[ 1.87964045  1.83217762  1.61184498  0.01840777],[-0.82177391 -0.09580086 -0.00388705],[-0.716455   -0.14278205 -0.02777728]
obj13,sub8,"[[-0.80783815 -0.14058689 -0.01304924]
 [-0.80476047 -0.06348295  0.03223954]]",[ 0.19988361 -0.77424923  0.04925107  0.59846387],grasp1,extreme1,[ 1.66354247  1.5708453   1.28093027  0.01604106],[-0.81687227 -0.10674144  0.02356616],[-0.7169559  -0.13568246  0.02647609]
obj13,sub8,"[[-0.8421698  -0.108304    0.08065594]
 [-0.88691159 -0.09993052 -0.00780963]]",[ 0.01018741  0.99507386  0.01914934 -0.09673435],grasp2,optimal0,[ 1.32846191  1.3406787   1.37722767  0.0434774 ],[-0.85637196 -0.11161334  0.00457342],[-0.83220135 -0.11190256  0.15954608]
obj13,sub8,"[[-0.84713853 -0.14313745  0.00102783]
 [-0.86122289 -0.17323452  0.01531729]]",[ 0.01548412  0.95845157  0.25732041 -0.12213535],grasp3,optimal0,[ 1.8776019   1.39638635  1.34890002  0.8178309 ],[-0.86042414 -0.1601619  -0.01058087],[-0.83773516 -0.14770309  0.18357085]
obj13,sub8,,[ 0.31118047  0.15915805 -0.55238287 -0.75677513],grasp4,optimal0,[ 0.01560874  0.00767643  0.00700627  0.05636284],[-0.91683318 -0.1712045   0.01074034],[-0.8166574  -0.27179976  0.09127362]
obj13,sub8,"[[-0.88495474 -0.16185295 -0.05746783]
 [-0.93351186 -0.10325848 -0.05740592]]",[-0.25797597 -0.30320203  0.67125752  0.62524417],grasp6,optimal0,[ 1.65573789  1.61960486  0.79016221  1.46297939],[-0.92004119 -0.13263776 -0.04751727],[-0.82854635 -0.21547563 -0.0392773 ]
obj13,sub8,"[[-0.91140105 -0.14222646 -0.04881308]
 [-0.93293022 -0.12228939 -0.05271   ]]",[-0.29413949 -0.28245371  0.66861792  0.62181342],grasp7,optimal0,[ 1.05320272  1.04726249  0.86532447  0.03821804],[-0.94010122 -0.14183786  0.0368635 ],[-0.84157273 -0.22901011  0.03286219]
obj15,sub4,"[[ -7.63807260e-01   4.02674060e-04  -6.59663901e-02]
 [ -7.19039040e-01  -3.52252171e-02  -5.78017296e-02]]",[ 0.20086296 -0.92163501  0.30343712 -0.13479206],grasp1,optimal0,[ 1.51763787  1.41759386  1.062098    1.17871084],[-0.7562071  -0.0371255  -0.03894363],[-0.80744518 -0.06150031  0.08966051]
obj15,sub4,"[[-0.81758529 -0.12327019 -0.02510783]
 [-0.87249781 -0.09595893 -0.11430648]]",[ 0.01703649  0.97615542 -0.214921   -0.02528484],grasp1,extreme0,[ 1.43998975  1.32440657  1.26362007  1.00506421],[-0.84527778 -0.11068074 -0.07215921],[-0.84400423 -0.11168516  0.05490331]
obj15,sub4,"[[-0.8608001  -0.07428237 -0.06330781]
 [-0.800117   -0.09184281 -0.06483965]]",[ 0.01760927  0.99537572 -0.09416658  0.00705287],grasp1,extreme1,[ 1.30580393  1.3735678   1.32760301  0.82081121],[-0.83078903 -0.08559991 -0.06703627],[-0.83358334 -0.09537186  0.1095368 ]
obj15,sub4,"[[-0.7676963  -0.10120036 -0.08493774]
 [-0.80212578 -0.08468551 -0.04258351]]",[ 0.16679092 -0.68978663 -0.16105828  0.68588295],grasp2,optimal0,[ 1.66328444  1.67095255  1.64999269  0.01604106],[-0.79860856 -0.09598435 -0.09214209],[-0.68839339 -0.09985682 -0.08361467]
obj15,sub4,"[[-0.77752762 -0.07997988 -0.09419529]
 [-0.80826578 -0.05470957 -0.07123458]]",[ 0.15579961 -0.68264309 -0.14737726  0.69857343],grasp3,extreme0,[ 0.04890984  1.67525759  1.65543682  0.01893371],[-0.80899854 -0.07767225 -0.0947245 ],[-0.69854404 -0.09911908 -0.05868332]
obj15,sub4,"[[-0.82862141 -0.08037733 -0.10726527]
 [-0.79859035 -0.12394398 -0.10811685]]",[ 0.16289301 -0.69545651 -0.16136044  0.68100581],grasp3,extreme1,[ 0.0488611   1.68405347  1.68610816  0.01937199],[-0.79998563 -0.09700975 -0.07493108],[-0.68921182 -0.09547206 -0.0841304 ]
obj15,sub4,"[[-0.76680643 -0.09947133 -0.11896105]
 [-0.8301053  -0.08488977 -0.10130192]]",[ 0.1629315  -0.69543967 -0.16130262  0.6810275 ],grasp3,optimal0,[ 0.0488611   1.68405347  1.5996188   0.01928433],[-0.80493014 -0.09619434 -0.07822214],[-0.68922724 -0.09544583 -0.08409618]
